customer_id,id_type,id_number,verification_date,expiry_date,verification_method
C001,Driver License,DL-929090-M,2022-04-21,2026-04-24,Manual
C002,National ID,NID71040347,2021-05-07,2025-09-24,KYC_API
C003,Driver License,DL-712955-M,2020-02-27,2026-02-03,In-branch
C004,National ID,NID73280554,2023-10-01,2029-05-14,Manual
C005,Driver License,DL-332120-U,2016-05-10,2026-03-12,Manual
C006,Driver License,DL-416869-U,2019-09-26,2024-03-23,KYC_API
C007,Passport,P1624315,2023-07-28,2027-01-28,KYC_API
C008,National ID,NID41514326,2023-09-15,2027-10-17,In-branch
C009,Passport,P7224540,2022-03-06,2030-04-06,In-branch
C010,Driver License,DL-715870-X,2024-09-23,2032-06-04,In-branch
C011,Passport,P2661307,2019-05-23,2027-01-15,KYC_API
C012,Driver License,DL-134305-W,2015-11-28,2022-01-15,KYC_API
C013,Passport,P7084862,2021-11-13,2025-07-12,Manual
C014,Driver License,DL-776149-L,2022-04-18,2031-05-26,Manual
C015,National ID,NID26395999,2025-06-21,2030-08-06,KYC_API
C016,Passport,P1358318,2020-08-21,2026-01-05,Manual
C017,National ID,NID85776373,2016-10-30,2021-03-28,Manual
C018,Passport,P4623062,2019-09-14,2025-08-10,Manual
C019,National ID,NID10380581,2025-10-30,2026-09-30,KYC_API
C020,Passport,P5205279,2023-08-17,2032-09-05,Manual
C021,Passport,P3211291,2020-08-25,2023-12-08,Manual
C022,National ID,NID53455870,2025-07-30,2035-03-06,Manual
C023,Passport,P3126655,2016-09-15,2020-04-16,In-branch
C024,National ID,NID18530615,2021-05-28,2025-09-04,KYC_API
C025,National ID,NID89680504,2019-12-29,2024-10-01,Manual
C026,National ID,NID92558242,2015-05-16,2020-11-07,Manual
C027,Driver License,DL-416282-O,2019-12-18,2028-10-21,In-branch
C028,Passport,P7738019,2024-01-06,2032-05-19,KYC_API
C029,Driver License,DL-847006-O,2017-09-02,2024-06-01,Manual
C029,Passport,P3488628,2025-10-07,2035-08-02,Manual
C030,Passport,P6455706,2016-09-25,2024-03-25,KYC_API
C030,Driver License,DL-575755-Q,2025-06-22,2031-10-11,In-branch
C031,National ID,NID97874085,2023-10-19,2028-01-29,In-branch
C032,Driver License,DL-550961-O,2020-04-24,2026-08-20,Manual
C033,National ID,NID65833185,2025-04-17,2025-10-10,In-branch
C034,Passport,P6243275,2022-08-08,2026-06-30,In-branch
C035,National ID,NID73655158,2025-03-12,2029-11-26,Manual
C036,Passport,P2564141,2019-09-10,2023-08-24,KYC_API
C037,Passport,P3182975,2016-03-09,2024-09-25,In-branch
C037,Passport,P6530541,2025-05-24,2034-09-09,In-branch
C038,Passport,P8095702,2025-02-03,2032-01-21,In-branch
C039,Passport,P6242022,2022-09-28,2032-06-21,KYC_API
C040,Passport,P3595941,2021-02-11,2025-08-05,In-branch
C041,National ID,NID56991504,2023-02-05,2027-04-23,In-branch
C042,National ID,NID87054398,2017-07-20,2023-09-03,Manual
C043,National ID,NID93446356,2019-08-14,2028-11-26,In-branch
C044,Driver License,DL-127529-T,2024-06-10,2033-09-06,In-branch
C045,Driver License,DL-289179-I,2022-11-09,2026-03-06,In-branch
C046,National ID,NID10819505,2016-05-16,2022-05-03,Manual
C046,Passport,P2167449,2025-06-04,2032-11-30,Manual
C047,Driver License,DL-196214-X,2024-06-20,2027-10-23,In-branch
C048,Passport,P8610913,2022-03-31,2029-12-13,KYC_API
C049,Passport,P6442241,2022-04-13,2028-10-09,In-branch
C050,Driver License,DL-263137-F,2023-11-18,2027-06-20,In-branch
C051,Passport,P5565128,2024-05-09,2028-04-07,KYC_API
C052,Driver License,DL-736565-O,2021-12-23,2030-06-03,KYC_API
C053,National ID,NID25276327,2023-02-23,2031-11-21,KYC_API
C054,National ID,NID89609131,2017-07-28,2023-09-30,KYC_API
C055,Driver License,DL-147623-H,2020-08-12,2027-01-26,KYC_API
C056,Driver License,DL-314353-J,2024-01-18,2027-02-17,Manual
C057,Passport,P6504979,2016-10-05,2023-01-02,Manual
C058,Passport,P3947669,2021-07-26,2029-05-23,Manual
C059,National ID,NID77144075,2021-05-15,2026-12-12,In-branch
C060,Driver License,DL-516359-X,2025-04-02,2029-01-21,Manual
C061,National ID,NID20450542,2024-04-01,2032-05-27,KYC_API
C062,Driver License,DL-524068-W,2025-01-15,2034-06-20,In-branch
C063,National ID,NID64362516,2022-09-25,2027-01-08,Manual
C064,National ID,NID92963368,2017-04-25,2025-10-21,KYC_API
C064,Driver License,DL-192410-N,2024-12-05,2031-12-26,Manual
C065,Passport,P7718433,2025-01-08,2034-08-16,In-branch
C066,Passport,P6696087,2022-02-19,2028-08-11,Manual
C067,National ID,NID20251466,2019-12-27,2024-11-13,In-branch
C068,Driver License,DL-634723-G,2025-12-04,2034-11-15,KYC_API
C069,National ID,NID41711468,2020-04-11,2024-12-05,Manual
C070,Passport,P3910830,2016-10-04,2021-12-20,In-branch
C071,Passport,P3972018,2020-02-04,2023-12-08,In-branch
C072,National ID,NID87774890,2021-10-02,2031-01-27,KYC_API
C073,Driver License,DL-774225-U,2019-05-30,2028-09-26,In-branch
C074,National ID,NID30261159,2019-07-06,2026-01-19,KYC_API
C075,Passport,P6080483,2015-07-26,2023-07-10,KYC_API
C076,Driver License,DL-631981-C,2024-01-15,2030-12-25,KYC_API
C077,National ID,NID17635653,2021-10-27,2025-03-29,KYC_API
C078,National ID,NID22119391,2017-11-05,2025-06-16,In-branch
C078,Driver License,DL-585188-S,2025-07-04,2032-10-24,In-branch
C079,Driver License,DL-571579-Z,2019-05-02,2022-10-16,In-branch
C080,Driver License,DL-598733-Q,2023-04-20,2024-06-29,Manual
C081,Passport,P6761929,2021-10-30,2023-12-01,In-branch
C082,Passport,P5156449,2021-07-11,2026-01-29,In-branch
C083,National ID,NID91846696,2021-11-22,2024-09-21,Manual
C084,National ID,NID61998170,2022-04-07,2028-06-07,KYC_API
C085,National ID,NID94676162,2020-07-19,2026-01-16,In-branch
C086,National ID,NID22684373,2023-12-27,2030-09-06,In-branch
C087,Driver License,DL-858889-V,2025-02-28,2025-06-25,In-branch
C088,Passport,P3372774,2022-06-27,2024-07-22,KYC_API
C089,National ID,NID27307598,2020-09-04,2028-01-26,In-branch
C090,Driver License,DL-686072-M,2023-11-18,2030-05-08,In-branch
C091,National ID,NID99941500,2019-10-18,2024-03-23,In-branch
C092,Driver License,DL-197992-U,2020-07-06,2029-05-31,In-branch
C093,National ID,NID58667035,2024-10-26,2026-02-20,KYC_API
C094,Passport,P9158272,2016-12-29,2023-10-28,Manual
C095,Passport,P2294615,2023-08-02,2028-04-26,KYC_API
